iter	Passed	Remaining
982	18364	317
983	18381	298
984	18398	280
985	18418	261
986	18435	242
987	18451	224
988	18469	205
989	18487	186
990	18505	168
991	18522	149
992	18539	130
993	18558	112
994	18574	93
995	18590	74
996	18608	55
997	18625	37
998	18640	18
999	18660	0
42778	1782
960	42811	1737
961	42849	1692
962	42877	1647
963	42911	1602
964	42947	1557
965	42983	1512
966	43021	1468
967	43056	1423
968	43084	1378
969	43114	1333
970	43153	1288
971	43202	1244
972	43249	1200
973	43295	1155
974	43339	1111
975	43389	1066
976	43436	1022
977	43498	978
978	43545	934
979	43584	889
980	43629	845
981	43674	800
982	43721	756
983	43764	711
984	43828	667
985	43870	622
986	43915	578
987	43968	534
988	44018	489
989	44060	445
990	44110	400
991	44156	356
992	44197	311
993	44243	267
994	44284	222
995	44330	178
996	44381	133
997	44427	89
998	44485	44
999	44532	0
